Station;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Alsfeld I;;;;;;;;;;;;;;;42,3;23,1;24,8;32,0;;;;
Alsfeld III;;;;;;;;;;;;;;;37,2;20,0;22,7;27,1;;;;
Bebra;;18,0;17,3;18,5;18,8;17,9;17,8;17,5;17,6;15,9;15,3;14,9;15,8;15,6;14,3;12,2;13,2;11,8;10,1;;;
Bensheim Nibelungenstrasse;;;;;;;;;;43,1;45,5;42,8;40,8;39,9;38,9;33,7;30,9;28,7;26,3;;;
Burg Herzberg;;;;;;;10,2;9,7;10,4;8,8;8,8;9,0;8,4;7,8;6,7;5,7;5,7;5,3;4,2;;;
Darmstadt;;31,5;28,9;29,1;30,0;27,2;25,8;26,6;25,2;23,5;25,3;22,7;22,9;21,2;22,3;17,1;17,1;15,3;12,8;;;
Darmstadt Heinrichstrasse;;;;;;;;;;;;59,8;56,8;54,2;42,2;31,5;29,0;28,0;25,7;;;
Darmstadt Huegelstrasse;;67,5;65,6;64,8;66,6;65,4;63,4;62,3;58,9;59,5;60,5;55,5;52,3;49,6;38,4;27,6;27,5;26,1;20,3;;;
Darmstadt Huegelstrasse I;;;;;;;;;;79,4;81,6;75,9;71,8;66,5;54,7;41,7;40,2;38,4;36,5;;;
Frankfurt Am Erlenbruch I;;;;;;;;;;;;56,5;52,4;47,7;43,9;35,1;34,8;28,6;29,3;;;
Frankfurt Am Erlenbruch II;;;;;;;;;;;;55,5;54,6;51,8;49,7;39,5;34,3;31,4;28,9;;;
Frankfurt Friedberger Landstrasse;;64,5;60,9;60,5;63,5;56,2;56,9;52,7;54,7;54,6;52,8;52,0;47,2;46,2;41,7;33,9;31,2;31,4;25,8;;;
Frankfurt Gotenstrasse;;;;;;;;;;;;;;;;;29,3;27,5;;;;
Frankfurt Hochstrasse;;;;;;;;;;;;;;;;;37,1;34,8;30,6;;;
Frankfurt Kasinostrasse;;;;;;;;;;;;;;;;;29,5;29,1;30,2;;;
Frankfurt Koenigsteiner Strasse I;;;;;;;;;;;;;;;;;27,5;25,4;;;;
Frankfurt Koenigsteiner Strasse II;;;;;;;;;;;;;;;;;29,5;27,7;;;;
Frankfurt Mainkai;;;;;;;;;;;;;;;41,5;25,2;31,9;30,9;27,6;;;
Frankfurt Mainzer Landstrasse;;;;;;;;;;;;;;;;;38,8;36,4;34,5;;;
Frankfurt Ost;;37,3;38,5;38,3;37,5;34,9;34,5;34,0;33,8;33,9;34,3;32,6;33,5;29,4;29,0;24,7;24,6;21,2;19,8;;;
Frankfurt Pforzheimer Strasse ;;;;;;;;;;;;;50,7;43,7;44,0;31,6;31,3;31,9;;;;
Frankfurt Hoechst;;;;;;;;;;;;40,0;38,3;36,2;34,2;30,3;29,5;28,2;27,6;;;
Frankfurt Riederwald;;;;;;;;;;;;25,0;24,9;23,4;24,9;20,0;20,7;16,6;15,2;;;
Frankfurt Schwanheim;;;;;;;;;;;;;;24,0;23,4;17,7;16,6;16,4;14,8;;;
Fulda Petersberger Strasse;;47,9;47,4;48,9;44,5;42,9;45,0;44,1;42,9;41,6;41,5;41,1;39,4;39,4;37,9;30,3;27,9;27,5;24,1;;;
Fulda Zentral;;;;;;;;;;;;;21,1;21,4;19,7;16,8;16,7;14,8;12,4;;;
Fuerth Odenwald;;11,7;11,8;11,4;10,2;11,5;10,3;10,0;10,2;9,1;9,6;9,3;8,1;7,9;7,3;6,2;6,2;5,4;4,6;;;
Giessen Johannette Lein Gasse;;;;;;;;;;;24,2;26,1;26,8;24,5;24,1;20,2;20,9;17,8;17,4;;;
Giessen Westanlage;;49,4;51,7;47,5;53,3;46,1;44,9;44,0;46,7;45,1;45,0;44,4;42,1;43,9;40,2;33,2;31,9;30,4;28,3;;;
Hanau;;40,1;37,3;38,5;39,1;37,8;37,4;33,9;32,2;27,0;24,2;26,2;26,6;25,1;24,3;21,6;20,2;18,4;15,2;;;
Heppenheim Lehrstrasse;;39,9;33,7;42,6;40,2;36,7;37,1;36,2;36,0;33,1;35,4;33,0;32,5;34,8;29,8;26,6;23,5;21,9;19,0;;;
Kassel Fuenffensterstrasse;;52,1;51,3;53,7;52,7;50,5;51,1;50,8;45,2;45,7;42,1;43,0;38,9;39,6;38,3;31,3;29,6;28,0;26,5;;;
Kassel Mitte;;;;28,7;26,2;24,7;23,5;24,8;23,8;22,3;22,3;22,4;21,2;22,1;20,0;16,3;16,0;15,4;13,7;;;
Kellerwald;;8,5;8,1;7,5;8,5;7,9;7,5;7,3;7,4;6,9;7,2;6,8;6,5;6,2;5,8;5,4;4,6;4,4;3,5;;;
Kleiner Feldberg;;;;;;;;;;;;;;6,6;6,1;5,1;5,0;4,9;3,9;;;
Limburg;;30,4;29,1;27,2;28,5;27,6;27,9;25,7;26,0;24,8;24,8;23,3;22,1;24,0;22,1;19,5;18,9;19,3;16,7;;;
Limburg Diezer Strasse;;;;;53,2;46,7;45,6;43,8;46,0;42,2;37,5;37,5;35,3;35,8;32,8;28,8;25,7;25,5;;;;
Limburg Eschhoefer Weg;;;;;;;;;;;;;;;;;;25,8;23,8;;;
Limburg Frankfurter Strasse;;;;;64,3;58,5;58,7;58,1;60,2;56,3;52,7;48,8;49,8;47,4;46,1;37,4;34,3;31,1;26,6;;;
Limburg Grabenstrasse;;;;;;;;;;;;;;;;;;25,5;23,2;;;
Limburg Schiede;;;;;;;;;;;;51,1;43,2;49,2;42,3;35,5;32,5;33,3;29,4;;;
Limburg Schiede I;;;;;69,8;64,9;66,2;63,8;66,4;62,7;63,3;60,2;58,0;54,0;52,1;44,5;39,9;38,5;37,1;;;
Limburg Schiede II;;;;;57,6;52,2;50,7;48,9;52,2;50,1;47,1;45,7;43,6;41,8;38,6;31,9;28,6;27,5;25,5;;;
Linden;;23,1;21,4;20,5;20,6;19,6;19,0;19,0;17,8;16,5;18,5;18,2;17,2;16,3;14,9;13,8;12,9;12,1;10,0;;;
Marburg;;25,0;22,8;26,7;26,8;23,0;24,6;23,3;21,9;23,0;24,5;23,6;21,8;22,6;21,0;18,9;17,9;15,8;15,5;;;
Marburg Bahnhofstrasse;;;;;;;;;;;;;;;39,9;33,6;30,8;28,8;27,5;;;
Marburg Universitaetsstrasse;;52,6;50,9;50,5;52,6;46,0;46,5;45,3;45,1;44,6;47,1;47,1;35,7;31,2;28,6;26,9;25,2;23,0;22,1;;;
Marburg Universitaetsstrasse I;;;;;;;;;;;;;;;36,1;31,3;29,1;25,6;23,4;;;
Michelstadt;;20,1;20,0;22,4;21,2;20,1;16,7;17,3;18,1;16,7;17,5;16,4;16,2;17,1;15,7;13,7;13,1;13,3;11,7;;;
Neu Isenburg Frankfurter Strasse I;;;;;;;;;;;;;;;;;;29,1;26,0;;;
Neu Isenburg Frankfurter Strasse II;;;;;;;;;;;;;;;;;;23,6;20,7;;;
Neu Isenburg Frankfurter Strasse III;;;;;;;;;;;;;;;;;;24,8;22,3;;;
Offenbach Bieberer Strasse;;;;;49,5;45,2;46,9;45,9;47,6;44,7;42,0;41,8;40,0;40,9;37,6;31,4;30,1;28,6;;;;
Offenbach Mainstrasse;;;;;60,3;52,6;55,4;53,5;54,6;54,0;52,2;50,9;48,2;46,4;44,8;38,2;35,5;31,6;30,1;;;
Offenbach Untere Grenzstrasse;;;;;;;;;;43,4;40,2;39,2;37,8;39,0;35,9;30,5;28,3;26,0;23,2;;;
Offenbach Untere Grenzstrasse I;;;;;57,4;50,3;51,3;50,4;50,3;49,0;48,3;47,5;47,8;44,2;44,9;38,1;36,5;32,2;28,3;;;
Offenbach Wetterpark;;;;;;;;;;;;;;;;;;;;;;
Raunheim;;34,8;32,7;31,4;32,7;32,5;32,5;30,6;30,3;32,1;29,1;28,9;28,3;28,5;27,1;21,9;21,5;19,9;16,8;;;
Riedstadt;;22,9;22,4;22,2;23,4;21,0;20,6;20,3;20,0;19,7;20,1;18,3;16,7;17,1;16,3;14,0;13,7;12,4;10,3;;;
Schlangenbad Wambach;;;;;;;;;;;;;;;;;27,6;26,6;;;;
Spessart;;10,1;9,6;10,3;9,8;9,1;8,4;8,4;7,7;7,3;8,0;8,0;7,5;6,6;6,4;5,5;5,0;4,6;3,9;;;
Wasserkuppe;;5,7;6,8;7,4;6,6;7,0;5,7;6,0;6,0;5,0;5,2;5,1;5,3;4,9;4,2;3,5;3,6;3,3;2,9;;;
Wetzlar;;36,4;33,7;34,0;37,6;33,3;32,9;31,4;31,6;31,1;29,0;29,4;27,5;29,8;27,7;23,7;22,4;21,8;18,8;;;
Wetzlar Linsenbergstrasse;;;;;30,6;30,8;28,9;26,8;28,1;24,9;22,8;21,9;22,2;20,3;19,8;17,5;17,5;15,6;13,7;;;
Wiesbaden Ringkirche;;64,8;60,7;53,9;60,2;58,7;58,4;57,4;55,2;52,5;52,8;52,9;48,9;47,6;44,4;37,3;33,4;31,5;28,6;;;
Wiesbaden Schiersteiner Strasse;;;;;;;;59,8;58,8;55,6;53,5;51,2;50,0;46,9;44,5;36,5;34,6;28,8;30,5;;;
Wiesbaden Sued;;30,0;32,6;34,7;35,0;34,8;31,9;33,0;31,6;30,3;28,6;28,3;28,5;27,8;25,8;21,6;20,8;18,3;16,7;;;
Witzenhausen Wald;;8,5;7,3;8,0;7,9;8,1;7,5;7,2;7,5;6,4;6,8;7,1;6,3;6,2;5,5;4,9;4,4;4,1;3,8;;;
Zierenberg;;;;;;;;;;9,4;9,3;9,4;8,5;9,0;7,4;6,4;5,6;5,5;4,6;;;
