Station;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Bebra;;45,3;45,1;46,3;39,9;41,1;41,8;41,7;44,3;39,0;43,9;40,0;41,4;47,7;46,9;46,4;40,1;47,3;48,6;;;
Burg Herzberg;;;;;;;60,4;60,8;58,4;60,2;62,2;60,3;60,3;68,9;67,8;67,9;55,1;68,7;67,1;;;
Darmstadt;;41,5;39,0;41,6;40,0;39,1;41,2;41,0;42,8;38,6;43,6;40,5;39,9;48,5;46,3;49,7;42,3;49,1;50,7;;;
Frankfurt Ost;;36,0;36,1;38,9;34,3;35,0;36,6;37,7;39,6;35,8;40,5;36,1;38,7;44,9;42,8;44,2;39,5;48,9;49,5;;;
Frankfurt Hoechst;;;;;;;;;;;;33,5;34,9;42,7;38,5;40,4;37,2;42,7;44,0;;;
Frankfurt Schwanheim;;;;;;;;;;;;;;45,5;40,8;42,4;38,0;46,0;45,3;;;
Fulda Zentral;;;;;;;;;;;;;41,1;46,4;45,9;46,3;41,8;47,5;50,0;;;
Fuerth Odenwald;;66,9;59,8;66,6;64,6;58,3;62,4;62,0;60,8;62,8;66,0;60,3;61,9;70,6;68,0;66,3;60,4;68,2;67,6;;;
Hanau;;37,8;34,9;37,3;35,0;34,5;34,9;36,6;37,4;40,4;41,7;37,6;42,3;49,9;44,7;46,7;41,4;49,4;50,3;;;
Kassel Mitte;;;;46,0;41,4;42,0;43,9;43,1;45,1;42,7;47,5;41,8;43,6;51,9;50,1;49,2;49,3;53,3;53,9;;;
Kellerwald;;63,5;62,4;63,9;58,7;57,3;59,3;61,6;59,3;52,5;60,6;58,2;58,8;65,3;66,1;64,1;59,6;65,5;64,8;;;
Kleiner Feldberg;;;;;;;;;;;;;;79,3;73,8;71,6;67,0;77,0;74,4;;;
Limburg;;41,1;38,0;39,7;37,4;37,3;39,5;40,1;41,1;36,9;40,2;36,7;40,0;43,0;45,4;47,3;40,7;45,3;48,0;;;
Linden;;41,1;40,4;39,7;37,7;41,3;39,4;40,6;44,1;38,3;43,5;39,1;40,5;47,1;47,5;49,7;39,7;48,8;49,3;;;
Marburg;;39,5;40,3;40,9;38,1;39,9;39,0;39,5;46,3;34,1;40,7;37,5;40,2;44,3;44,8;45,2;40,4;47,2;47,9;;;
Michelstadt;;46,6;41,9;43,1;40,5;39,5;42,3;44,0;43,6;41,0;45,3;39,6;42,0;48,8;46,1;47,3;42,6;46,8;49,2;;;
Raunheim;;40,1;37,0;41,2;38,3;37,1;37,5;39,5;41,6;38,5;41,3;38,7;38,3;47,5;45,8;46,3;39,9;47,6;49,8;;;
Riedstadt;;46,0;42,5;45,9;42,3;44,3;40,5;43,1;44,2;41,2;45,5;43,1;43,1;48,6;50,5;50,4;43,5;49,8;53,6;;;
Spessart;;63,9;62,4;65,3;62,7;61,7;65,3;61,9;62,6;58,9;64,7;58,9;59,6;73,6;71,6;68,2;61,1;70,3;67,8;;;
Wasserkuppe;;82,8;77,4;75,1;75,5;71,3;76,2;74,4;74,8;74,8;77,6;72,4;75,1;83,8;81,3;78,1;75,5;83,5;79,9;;;
Wetzlar;;35,8;33,3;34,0;32,1;35,9;32,0;35,2;35,2;32,1;37,2;32,3;34,8;38,8;39,7;40,0;37,7;43,1;44,9;;;
Wiesbaden Sued;;39,2;36,4;41,2;38,7;37,0;39,0;38,0;42,3;35,1;41,8;37,7;38,0;45,6;46,2;46,8;41,2;49,5;49,0;;;
Witzenhausen Wald;;67,9;63,0;65,8;64,0;60,2;63,6;61,3;61,2;59,2;62,5;59,6;60,0;70,2;68,6;68,9;65,3;73,8;72,3;;;
Zierenberg;;;;;;;;;;54,9;59,4;55,5;56,8;66,0;66,0;61,2;56,0;63,9;63,9;;;
